hz,note,midi,string,fret,token_idx
884.2429294971879,A5,81.0,1,17,142
660.3351681059349,E5,76.0,1,12,137
882.3655026220358,A5,81.0,1,17,142
220.177921063135,A3,57.0,4,7,57
196.20267555716717,G3,55.0,4,5,55
221.1249826037375,A3,57.0,4,7,57
196.04910592199008,G3,55.0,4,5,55
174.23399827951403,F3,53.0,4,3,53
147.77823930473502,D3,50.0,5,5,30
442.815875580166,A4,69.0,1,5,130
394.09841949205986,G4,67.0,1,3,128
882.6803001886918,A5,81.0,1,17,142
220.22315778393022,A3,57.0,3,2,77
196.57426188344817,G3,55.0,4,5,55
220.92494674176868,A3,57.0,4,7,57
196.57207810045745,G3,55.0,4,5,55
176.22166260083904,F3,53.0,4,3,53
147.84697771584376,D3,50.0,5,5,30
442.59440751095804,A4,69.0,1,5,130
394.7207870402668,G4,67.0,1,3,128
783.9573356815624,G5,79.0,1,15,140
659.1337542437338,E5,76.0,1,12,137
783.2722630398669,G5,79.0,1,15,140
658.966354286789,E5,76.0,1,12,137
588.1774979343106,D5,74.0,1,10,135
659.2271517146455,E5,76.0,1,12,137
588.6382187210482,D5,74.0,1,10,135
527.7142681675098,C5,72.0,1,8,133
444.0544930003153,A4,69.0,2,10,110
395.73607128985043,G4,67.0,2,8,108
442.0559387555096,A4,69.0,1,5,130
394.17284965113976,G4,67.0,1,3,128
783.8220432629357,G5,79.0,1,15,140
660.4643313811437,E5,76.0,1,12,137
784.9904086565853,G5,79.0,1,15,140
659.7009372641807,E5,76.0,1,12,137
587.7129695822041,D5,74.0,1,10,135
660.5335958879772,E5,76.0,1,12,137
587.3374243187391,D5,74.0,1,10,135
527.8771688727052,C5,72.0,1,8,133
147.34241567072098,D3,50.0,5,5,30
496.951286399226,B4,71.0,1,7,132
521.4083309346357,C5,72.0,1,8,133
