hz,note,midi,string,fret,token_idx
82.50927474304908,E2,40.0,6,0,0
82.50207545154323,E2,40.0,6,0,0
82.51361389087671,E2,40.0,6,0,0
82.51473266301478,E2,40.0,6,0,0
98.1779383287371,G2,43.0,6,3,3
110.70026352432623,A2,45.0,6,5,5
82.51319624156125,E2,40.0,6,0,0
82.48515705437542,E2,40.0,6,0,0
146.97264390044342,D3,50.0,4,0,50
155.93621150159066,D#3,51.0,4,1,51
82.52638630986608,E2,40.0,6,0,0
82.55122653263025,E2,40.0,6,0,0
82.49383838574371,E2,40.0,6,0,0
98.20839235365695,G2,43.0,6,3,3
110.80667702725788,A2,45.0,6,5,5
82.4508851810322,E2,40.0,6,0,0
82.44459614791974,E2,40.0,6,0,0
195.9088893224593,G3,55.0,4,5,55
82.44465531264991,E2,40.0,6,0,0
146.89037873809528,D3,50.0,4,0,50
155.72170667315677,D#3,51.0,5,6,31
131.65925490640453,C3,48.0,5,3,28
82.52337274116337,E2,40.0,6,0,0
82.49608059598606,E2,40.0,6,0,0
206.11714973556155,G#3,56.0,3,1,76
97.98414594235355,G2,43.0,6,3,3
110.44582436146479,A2,45.0,6,5,5
131.2942946840634,C3,48.0,5,3,28
110.30924533245243,A2,45.0,6,5,5
117.28575204491959,A#2,46.0,6,6,6
216.59692068618116,A3,57.0,4,7,57
82.46450993911358,E2,40.0,6,0,0
146.78574953853422,D3,50.0,5,5,30
155.55092407828812,D#3,51.0,5,6,31
131.48560095677217,C3,48.0,5,3,28
82.68049745681627,E2,40.0,6,0,0
110.88483121618471,A2,45.0,5,0,25
83.32546574262274,E2,40.0,6,0,0
82.47425214491923,E2,40.0,6,0,0
98.1615783124791,G2,43.0,6,3,3
109.22037418906802,A2,45.0,6,5,5
98.6147193186084,G2,43.0,6,3,3
110.47884103292189,A2,45.0,6,5,5
82.49274655510797,E2,40.0,6,0,0
82.46004880450018,E2,40.0,6,0,0
146.5562977900863,D3,50.0,4,0,50
155.60880476904424,D#3,51.0,5,6,31
