hz,note,midi,string,fret,token_idx
100.54527916149107,G2,43.0,6,3,3
109.34019016601013,A2,45.0,6,5,5
102.92884433248915,G#2,44.0,6,4,4
98.79398114129015,G2,43.0,6,3,3
298.3502324667521,D4,62.0,2,3,103
327.98842353201894,E4,64.0,2,5,105
296.93393865168116,D4,62.0,2,3,103
323.3520920231646,E4,64.0,2,5,105
297.34192963765753,D4,62.0,2,3,103
264.007429202592,C4,60.0,3,5,80
197.574720606153,G3,55.0,4,5,55
133.16793143346774,C3,48.0,5,3,28
110.11491737629423,A2,45.0,6,5,5
132.13523108576277,C3,48.0,5,3,28
111.11858014175286,A2,45.0,6,5,5
131.96944581128727,C3,48.0,5,3,28
299.22505399201407,D4,62.0,3,7,82
264.3099093414878,C4,60.0,3,5,80
220.8315450941094,A3,57.0,4,7,57
265.1087444138656,C4,60.0,3,5,80
271.5044248826962,C#4,61.0,3,6,81
296.8884283175852,D4,62.0,3,7,82
264.467983029337,C4,60.0,3,5,80
296.4785767906091,D4,62.0,3,7,82
329.72732352512486,E4,64.0,2,5,105
295.39176601490277,D4,62.0,2,3,103
326.8110226084607,E4,64.0,2,5,105
296.9017909822222,D4,62.0,2,3,103
325.8679619803952,E4,64.0,2,5,105
312.0274008965264,D#4,63.0,2,4,104
295.71174363554815,D4,62.0,2,3,103
264.64810025914187,C4,60.0,3,5,80
131.69285432119094,C3,48.0,5,3,28
98.00895424100113,G2,43.0,6,3,3
260.40414664085836,C4,60.0,3,5,80
131.8075681187279,C3,48.0,5,3,28
151.08911324432574,D#3,51.0,5,6,31
166.424964393737,E3,52.0,5,7,32
196.62629857197706,G3,55.0,4,5,55
148.71340517451148,D3,50.0,5,5,30
133.29007477684618,C3,48.0,5,3,28
131.03758802514827,C3,48.0,5,3,28
135.3855406810379,C#3,49.0,5,4,29
131.08801854557728,C3,48.0,5,3,28
102.34573915075397,G#2,44.0,6,4,4
112.10842368921313,A2,45.0,6,5,5
131.51834824841046,C3,48.0,5,3,28
147.24028872484092,D3,50.0,5,5,30
164.30581133325128,E3,52.0,5,7,32
196.53690007716608,G3,55.0,4,5,55
220.52143414886802,A3,57.0,4,7,57
264.951393983289,C4,60.0,3,5,80
297.19942166637566,D4,62.0,3,7,82
304.07158442441494,D#4,63.0,3,8,83
299.75910142426767,D4,62.0,3,7,82
265.78067610638345,C4,60.0,3,5,80
220.9279491288705,A3,57.0,4,7,57
266.3353057223118,C4,60.0,3,5,80
298.0589991680233,D4,62.0,3,7,82
331.8039837261715,E4,64.0,2,5,105
393.2214485062197,G4,67.0,2,8,108
439.89508059232276,A4,69.0,1,5,130
527.391888578021,C5,72.0,1,8,133
527.443528332773,C5,72.0,1,8,133
130.51844543311438,C3,48.0,6,8,8
87.31843652346554,F2,41.0,6,1,1
130.6162720040488,C3,48.0,5,3,28
87.668585294808,F2,41.0,6,1,1
130.68078089548123,C3,48.0,5,3,28
148.259569754124,D3,50.0,5,5,30
131.2179114763069,C3,48.0,5,3,28
146.78478653436886,D3,50.0,5,5,30
174.75690544421857,F3,53.0,4,3,53
130.68499898421004,C3,48.0,5,3,28
146.35089303458952,D3,50.0,5,5,30
524.5746763320232,C5,72.0,1,8,133
576.2926975835687,D5,74.0,1,10,135
524.0050109799513,C5,72.0,1,8,133
130.56793444777173,C3,48.0,6,8,8
146.52562421700713,D3,50.0,5,5,30
130.5820997324896,C3,48.0,5,3,28
87.42491732060029,F2,41.0,6,1,1
130.58423692348498,C3,48.0,5,3,28
87.69306854400648,F2,41.0,6,1,1
130.7465885986458,C3,48.0,5,3,28
100.07634085814995,G2,43.0,6,3,3
217.18935706824988,A3,57.0,3,2,77
635.8013054008321,D#5,75.0,1,11,136
648.6808888704745,E5,76.0,1,12,137
630.7308769700674,D#5,75.0,1,11,136
661.0200165024281,E5,76.0,1,12,137
624.2513202634084,D#5,75.0,1,11,136
661.1548463637345,E5,76.0,1,12,137
620.9644353815556,D#5,75.0,1,11,136
662.4434747612802,E5,76.0,1,12,137
631.3045244421581,D#5,75.0,1,11,136
662.9702277078372,E5,76.0,1,12,137
611.6122027709591,D#5,75.0,1,11,136
166.58669163379037,E3,52.0,5,7,32
521.8275865255739,C5,72.0,1,8,133
450.2530056867811,A4,69.0,1,5,130
524.4867130821842,C5,72.0,1,8,133
584.7243044850243,D5,74.0,1,10,135
637.5614344581205,D#5,75.0,1,11,136
110.36999267830986,A2,45.0,6,5,5
632.2752077953327,D#5,75.0,1,11,136
648.4597823120723,E5,76.0,1,12,137
521.9853920422487,C5,72.0,2,13,113
444.420200022545,A4,69.0,2,10,110
520.4968813958732,C5,72.0,1,8,133
587.8188734394009,D5,74.0,1,10,135
651.9337122133754,E5,76.0,1,12,137
615.7449596998302,D#5,75.0,1,11,136
653.3015432334023,E5,76.0,1,12,137
638.9564419642484,D#5,75.0,1,11,136
656.2994116889005,E5,76.0,1,12,137
616.0873370733855,D#5,75.0,1,11,136
659.3946519786293,E5,76.0,1,12,137
614.299741910275,D#5,75.0,1,11,136
602.6397747306364,D5,74.0,1,10,135
623.8453631770994,D#5,75.0,1,11,136
650.0431743133222,E5,76.0,1,12,137
616.0087737110116,D#5,75.0,1,11,136
643.4852148462104,E5,76.0,1,12,137
642.891650053372,E5,76.0,1,12,137
