hz,note,midi,string,fret,token_idx
371.049166769236,F#4,66.0,2,7,107
441.3984622958907,A4,69.0,1,5,130
495.03357153523086,B4,71.0,1,7,132
590.3081708501966,D5,74.0,1,10,135
440.6795125185439,A4,69.0,2,10,110
493.3214893924295,B4,71.0,1,7,132
332.0434585512711,E4,64.0,2,5,105
165.5325428930147,E3,52.0,5,7,32
296.78771557340855,D4,62.0,3,7,82
333.73552889680855,E4,64.0,2,5,105
370.55792264910497,F#4,66.0,2,7,107
295.6472710183703,D4,62.0,3,7,82
234.72006011426186,A#3,58.0,4,8,58
249.91437575952236,B3,59.0,4,9,59
298.86608184767647,D4,62.0,3,7,82
249.5502052535408,B3,59.0,4,9,59
224.94143084561503,A3,57.0,4,7,57
231.66357643876762,A#3,58.0,4,8,58
296.9949244666117,D4,62.0,3,7,82
332.53984222313056,E4,64.0,3,9,84
318.3979078523177,D#4,63.0,3,8,83
297.07573173914705,D4,62.0,3,7,82
248.28598875277933,B3,59.0,4,9,59
233.7217946631906,A#3,58.0,4,8,58
247.6228249708334,B3,59.0,4,9,59
296.02593921364036,D4,62.0,3,7,82
330.50526338120403,E4,64.0,2,5,105
321.7283447332808,E4,64.0,2,5,105
98.69879789550991,G2,43.0,6,3,3
82.8428588404531,E2,40.0,6,0,0
111.22812607132435,A2,45.0,6,5,5
123.69372707287705,B2,47.0,6,7,7
110.97185928510464,A2,45.0,6,5,5
110.5099671401965,A2,45.0,6,5,5
123.62041882923407,B2,47.0,6,7,7
98.25804027867002,G2,43.0,6,3,3
165.03648578255846,E3,52.0,5,7,32
146.70752010760248,D3,50.0,5,5,30
373.350075079708,F#4,66.0,2,7,107
441.7357841461238,A4,69.0,1,5,130
373.78642709402743,F#4,66.0,2,7,107
415.8291943857826,G#4,68.0,2,9,109
396.70232405548415,G4,67.0,2,8,108
379.1525208909277,F#4,66.0,2,7,107
496.37293202268756,B4,71.0,1,7,132
123.94045611776161,B2,47.0,6,7,7
588.5284715454286,D5,74.0,1,10,135
661.0548481108193,E5,76.0,1,12,137
590.4440328076247,D5,74.0,1,10,135
662.330635796395,E5,76.0,1,12,137
595.0645985917091,D5,74.0,1,10,135
496.3997821484121,B4,71.0,1,7,132
442.1240803640309,A4,69.0,1,5,130
495.95661415112784,B4,71.0,1,7,132
98.15199040804225,G2,43.0,6,3,3
165.69536317194547,E3,52.0,5,7,32
147.19887204979764,D3,50.0,5,5,30
131.16798148225803,C3,48.0,5,3,28
440.7896905564592,A4,69.0,1,5,130
335.16540180276934,E4,64.0,2,5,105
371.6735119543243,F#4,66.0,2,7,107
371.8160696948655,F#4,66.0,2,7,107
330.58590890762423,E4,64.0,2,5,105
299.1069903659747,D4,62.0,2,3,103
306.3658286083535,D#4,63.0,2,4,104
296.53068744722776,D4,62.0,2,3,103
279.345953358736,C#4,61.0,2,2,102
296.8138236071195,D4,62.0,2,3,103
331.1561316705955,E4,64.0,2,5,105
374.3870671184575,F#4,66.0,2,7,107
392.827316808203,G4,67.0,2,8,108
375.47388838655024,F#4,66.0,2,7,107
391.60160230646625,G4,67.0,2,8,108
372.0777807957147,F#4,66.0,2,7,107
331.8441247770286,E4,64.0,2,5,105
296.7876385503687,D4,62.0,2,3,103
331.09277746532297,E4,64.0,2,5,105
391.61501974796846,G4,67.0,2,8,108
372.5315711331673,F#4,66.0,2,7,107
389.5661824657903,G4,67.0,2,8,108
376.4182637763979,F#4,66.0,2,7,107
391.8071347037965,G4,67.0,2,8,108
371.86860935068586,F#4,66.0,2,7,107
333.2503848410447,E4,64.0,2,5,105
296.68133505782265,D4,62.0,2,3,103
334.0867879620486,E4,64.0,2,5,105
372.14917382035674,F#4,66.0,2,7,107
221.5444766689431,A3,57.0,4,7,57
173.87549819659168,F3,53.0,5,8,33
185.20535732631458,F#3,54.0,5,9,34
124.18711954600624,B2,47.0,6,7,7
122.65459413546246,B2,47.0,6,7,7
111.17756668698709,A2,45.0,6,5,5
99.22890315279538,G2,43.0,6,3,3
111.3367683980789,A2,45.0,6,5,5
115.02177470032605,A#2,46.0,6,6,6
123.25401218083412,B2,47.0,6,7,7
337.56225247294753,E4,64.0,2,5,105
369.49864216823926,F#4,66.0,2,7,107
372.7125080547495,F#4,66.0,2,7,107
443.3515974916895,A4,69.0,1,5,130
371.94649608055033,F#4,66.0,2,7,107
124.24528660952332,B2,47.0,6,7,7
123.53639564455702,B2,47.0,6,7,7
124.39861615009589,B2,47.0,6,7,7
124.5023366590096,B2,47.0,6,7,7
166.36780266876593,E3,52.0,5,7,32
183.58001067458272,F#3,54.0,5,9,34
165.69920519770102,E3,52.0,5,7,32
124.36063476137136,B2,47.0,6,7,7
123.67704307809578,B2,47.0,6,7,7
99.07348917462295,G2,43.0,6,3,3
111.0782510619853,A2,45.0,6,5,5
98.78080048521714,G2,43.0,6,3,3
111.48614742099163,A2,45.0,6,5,5
116.80564430537197,A#2,46.0,6,6,6
122.16479475028324,B2,47.0,6,7,7
123.39994908071705,B2,47.0,6,7,7
110.87114809236068,A2,45.0,6,5,5
374.5284975642029,F#4,66.0,2,7,107
442.3613258860195,A4,69.0,1,5,130
415.05839000399396,G#4,68.0,2,9,109
385.31092104222364,G4,67.0,1,3,128
332.6878945220414,E4,64.0,2,5,105
373.7919280394516,F#4,66.0,2,7,107
296.53031456031687,D4,62.0,3,7,82
249.30055264216884,B3,59.0,4,9,59
221.80417750735108,A3,57.0,4,7,57
232.35416414217923,A#3,58.0,4,8,58
248.3080075050156,B3,59.0,4,9,59
221.5233183897035,A3,57.0,4,7,57
186.46316034267255,F#3,54.0,4,4,54
441.82447409684954,A4,69.0,1,5,130
491.90749725567554,B4,71.0,1,7,132
588.8258721950767,D5,74.0,1,10,135
494.1116835623145,B4,71.0,1,7,132
466.99546027217605,A#4,70.0,1,6,131
441.76235975975385,A4,69.0,1,5,130
417.96007812508793,G#4,68.0,1,4,129
446.13612625842643,A4,69.0,1,5,130
463.47916566297465,A#4,70.0,1,6,131
490.72268102809414,B4,71.0,1,7,132
466.86700016604607,A#4,70.0,1,6,131
493.9480536139824,B4,71.0,1,7,132
585.6650959954374,D5,74.0,1,10,135
655.3397256756032,E5,76.0,1,12,137
588.8046945017617,D5,74.0,1,10,135
663.5627304158493,E5,76.0,1,12,137
733.2122567708166,F#5,78.0,1,14,139
878.6175340806178,A5,81.0,1,17,142
146.704999581294,D3,50.0,6,10,10
