hz,note,midi,string,fret,token_idx
138.6800864455172,C#3,49.0,5,4,29
154.49238213125912,D#3,51.0,5,6,31
164.30058681694183,E3,52.0,5,7,32
155.38549434655528,D#3,51.0,5,6,31
138.3817404655909,C#3,49.0,5,4,29
123.31699557014373,B2,47.0,5,2,27
135.6477830696631,C#3,49.0,5,4,29
123.18352446966065,B2,47.0,5,2,27
138.1165022348061,C#3,49.0,5,4,29
92.59837132450264,F#2,42.0,6,2,2
139.03211725629885,C#3,49.0,5,4,29
188.83987020230765,F#3,54.0,4,4,54
138.69858051750253,C#3,49.0,5,4,29
155.23134286036867,D#3,51.0,5,6,31
164.62916049379857,E3,52.0,5,7,32
155.43326321441324,D#3,51.0,5,6,31
138.39895421399686,C#3,49.0,5,4,29
131.75960710437488,C3,48.0,5,3,28
123.39214234501142,B2,47.0,5,2,27
132.55411626643027,C3,48.0,5,3,28
123.04768825925684,B2,47.0,5,2,27
129.65163325339518,C3,48.0,5,3,28
138.21496966409836,C#3,49.0,5,4,29
92.6752289094301,F#2,42.0,6,2,2
138.73697393775723,C#3,49.0,5,4,29
102.91681505278558,G#2,44.0,6,4,4
138.64770516543908,C#3,49.0,5,4,29
155.3741221878014,D#3,51.0,5,6,31
164.66825036277305,E3,52.0,5,7,32
155.3015803622987,D#3,51.0,5,6,31
138.41690261649626,C#3,49.0,5,4,29
123.25592162314669,B2,47.0,5,2,27
123.17654899634388,B2,47.0,5,2,27
267.9964480577513,C4,60.0,3,5,80
272.78362579937874,C#4,61.0,3,6,81
138.51196854819773,C#3,49.0,5,4,29
92.5262165612908,F#2,42.0,6,2,2
110.24734513369557,A2,45.0,6,5,5
135.6067438880007,C#3,49.0,5,4,29
123.46279873932282,B2,47.0,5,2,27
131.65215172221687,C3,48.0,5,3,28
125.17522792191657,B2,47.0,5,2,27
132.2449144806046,C3,48.0,5,3,28
132.5851326060128,C3,48.0,5,3,28
123.5880447990928,B2,47.0,5,2,27
138.75178271592608,C#3,49.0,5,4,29
555.2371599648259,C#5,73.0,1,9,134
138.734023212816,C#3,49.0,5,4,29
