hz,note,midi,string,fret,token_idx
165.38291175455683,E3,52.0,5,7,32
98.0293927458323,G2,43.0,6,3,3
170.1198662746103,F3,53.0,4,3,53
165.7107713669498,E3,52.0,4,2,52
156.11314841695332,D#3,51.0,5,6,31
139.72872885586733,C#3,49.0,5,4,29
131.6300385766151,C3,48.0,5,3,28
124.36407311788442,B2,47.0,5,2,27
165.28623004420672,E3,52.0,4,2,52
195.29484178631506,G3,55.0,4,5,55
165.89500376601086,E3,52.0,4,2,52
148.77128403781882,D3,50.0,5,5,30
187.9056245688007,F#3,54.0,4,4,54
131.89586283315657,C3,48.0,5,3,28
124.39701506322524,B2,47.0,5,2,27
82.91096344072537,E2,40.0,6,0,0
166.13129229536383,E3,52.0,4,2,52
165.8972448496811,E3,52.0,4,2,52
179.22980736296165,F3,53.0,4,3,53
166.50358767948683,E3,52.0,4,2,52
153.49558275126938,D#3,51.0,4,1,51
145.1951118706483,D3,50.0,5,5,30
132.10632832042927,C3,48.0,5,3,28
132.07400404836537,C3,48.0,5,3,28
124.3180517408621,B2,47.0,5,2,27
175.8053296308338,F3,53.0,4,3,53
82.77871019044929,E2,40.0,6,0,0
83.44616654544535,E2,40.0,6,0,0
109.00436733475314,A2,45.0,5,0,25
145.9194567178874,D3,50.0,5,5,30
139.5132845720845,C#3,49.0,5,4,29
131.82218055546528,C3,48.0,5,3,28
136.9933082802341,C#3,49.0,5,4,29
132.3274546389952,C3,48.0,5,3,28
